timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705667287758,1554,casestudy-1-1,200,OK,AssignmentTask3 6-3,text,true,,163986,290,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1537,0,0
1705667286848,2469,casestudy-1,200,OK,AssignmentTask3 6-6,text,true,,164548,576,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,857,0,0
1705667286848,857,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-6,text,true,,562,286,10,14,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,857,0,0
1705667287705,1612,casestudy-1-1,200,OK,AssignmentTask3 6-6,text,true,,163986,290,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1592,0,0
1705667286849,2528,casestudy-1,200,OK,AssignmentTask3 6-10,text,true,,164548,576,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,936,0,0
1705667286849,936,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-10,text,true,,562,286,10,14,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,936,0,0
1705667287785,1592,casestudy-1-1,200,OK,AssignmentTask3 6-10,text,true,,163986,290,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1563,0,0
1705667286848,2550,casestudy-1,200,OK,AssignmentTask3 6-9,text,true,,164548,576,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,910,0,0
1705667286848,910,casestudy-1-0,301,Moved Permanently,AssignmentTask3 6-9,text,true,,562,286,10,14,https://imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,910,0,0
1705667287758,1640,casestudy-1-1,200,OK,AssignmentTask3 6-9,text,true,,163986,290,10,14,https://www.imagicaaworld.com/theme-park/?utm_source=google_sem&utm_medium=brand_keywords&gad_source=1&gclid=Cj0KCQiA2KitBhCIARIsAPPMEhL9nRlbRM3d6SQU2RDymH4kqL0RJAySppB7qMlfbGdIOYKdcEnLqA0aAlpIEALw_wcB,1594,0,0
